idx,gender
0,2
1,1
2,2
3,2
4,1
5,1
6,2
7,2
8,1
9,2
10,1
11,1
12,2
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,2
24,1
25,1
26,2
27,1
28,1
29,1
30,1
31,1
32,2
33,1
34,2
35,1
36,2
37,1
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,2
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,1
56,2
57,1
58,1
59,2
60,1
61,1
62,1
63,2
64,1
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,1
74,2
75,1
76,2
77,2
78,1
79,1
80,2
81,2
82,2
83,1
84,2
85,1
86,1
87,2
88,2
89,2
90,2
91,2
92,2
93,1
94,1
95,2
96,1
97,2
98,1
99,1
100,1
101,1
102,1
103,2
104,2
105,2
106,2
107,1
108,1
109,1
110,2
111,2
112,1
113,1
114,1
115,1
116,2
117,2
118,2
119,1
120,1
121,1
122,2
123,1
124,1
125,2
126,2
127,1
128,1
129,1
130,2
131,1
132,2
133,1
134,2
135,2
136,2
137,1
138,1
139,1
140,2
141,1
142,2
143,2
144,1
145,2
146,1
147,2
148,2
149,1
150,1
151,2
152,1
153,2
154,2
155,1
156,2
157,1
158,2
159,1
160,1
161,1
162,2
163,1
164,1
165,2
166,1
167,1
168,1
169,1
170,2
171,2
172,1
173,1
174,1
175,1
176,2
177,2
178,1
179,1
180,1
181,2
182,1
183,2
184,1
185,1
186,2
187,2
188,1
189,1
190,1
191,2
192,1
193,1
194,1
195,2
196,2
197,2
198,2
199,1
200,2
201,2
202,1
203,1
204,1
205,1
206,1
207,2
208,2
209,1
210,2
211,1
212,2
213,2
214,2
215,1
216,1
217,1
218,2
219,1
220,1
221,2
222,1
223,1
224,2
225,1
226,1
227,1
228,1
229,1
230,2
231,1
232,2
233,1
234,2
235,1
236,1
237,2
238,1
239,2
240,1
241,2
242,2
243,1
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,1
253,1
254,2
255,1
256,2
257,1
258,2
259,2
260,1
261,2
262,2
263,2
264,1
265,2
266,2
267,1
268,1
269,2
270,1
271,2
272,2
273,1
274,2
275,1
276,2
277,1
278,2
279,1
280,2
281,2
282,2
283,1
284,2
285,1
286,1
287,1
288,2
289,2
